Frequenz;Bandbreite;Programmname;URL
218 kHz;4.5 kHz;NRK P1;http://lyd.nrk.no/nrk_radio_p1_nordland_mp3_h
245 kHz;4.5 kHz;DR P1 (News);http://live-icy.gss.dr.dk:80/A/A03H.mp3
980 kHz;4.5 kHz;SR P4 Stockholmc;http://sverigesradio.se/topsy/direkt/701-hi-mp3
1268 kHz;4.5 kHz;Deutschlandfunk Kultur MP3 128 kbit/s;https://st02.sslstream.dlf.de/dlf/02/128/mp3/stream.mp3?aggregator=web
1421 kHz;4.5 kHz;Europe 1;http://stream.europe1.fr/europe1.mp3?aw_0_1st.playerid=lgrdrnwsRadioPlayerE1
