Frequenz;Bandbreite;Programmname;URL
178 kHz;9.0 kHz;Rai Radio 1 (Nachrichten);http://icestreaming.rai.it:80/1.mp3
211 kHz;9.0 kHz;Rai Radio 2 (Pop);http://icestreaming.rai.it:80/2.mp3
244 kHz;9.0 kHz;Rai Radio 3 (Kultur);http://icestreaming.rai.it:80/3.mp3
277 kHz;9.0 kHz;Rai Radio Classica (Klassik);http://icestreaming.rai.it:80/5.mp3
310 kHz;9.0 kHz;Rai Radio Kids;http://icestreaming.rai.it:80/11.mp3
343 kHz;9.0 kHz;Rai Radio Techete;http://icestreaming.rai.it:80/9.mp3
